power_id,Name,isFeature,Level,Type,UsageLimit,UsageNumber,Keywords,Action,Trigger,Range,Target,AttackRoll,EffectPre,Hit,Miss,EffectPost,Misc,SecondaryAttack,Upgrades,Summary
# Basic Attacks
mnv_mbawp,Melee Basic Attack (Weapon),NA,1,Attack,NA,NA,"Weapon",NA,NA,Melee,NA,Primary Ability vs Arm,NA,"1W+Primary Ability.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Primary Ability.,Attack with a weapon in melee
mnv_rbawp,Ranged Basic Attack (Weapon),NA,1,Attack,NA,NA,"Weapon",NA,NA,Weapon Range,NA,Str vs Arm,NA,"1W+Primary Ability.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Primary Ability.,Attack with a weapon at range
mnv_rbaim,Ranged Basic Attack (Implement),NA,1,Attack,NA,NA,"Implement",NA,NA,Implement Range,NA,Str vs Arm,NA,"1d6+Primary Ability.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d6+Primary Ability.,Attack with an implement at range
# Core Maneuvers
mnv_walk,Walk,NA,1,Utility,,,,,,Move Action,,,,,,,,Move your Speed.,,,,Move your Speed.
mnv_opatk,Opportunity Attack,NA,1,Attack,,NA,NA,Reaction (Interrupt),An adjacent enemy moves or makes a Ranged or Area attack,,,NA,NA,NA,NA,"You make a Melee Basic Attack against the triggering enemy, adding your Opportunity Modifier to the Hit Roll",NA,NA,NA,"Reaction attack against adjacent enemy shifting or using ranged attacks."
mnv_defns,Total Defense,NA,1,Utility,,,,,,Standard Action,,,,,,,,Gain +4 to all defenses until your next turn.,,,, +4 to all defenses until end of next turn.
mnv_shift,Shift,NA,1,Utility,,,,,Move Action,,,,,,,,Shift 1. If you move away from an adjacent enemy this way, you are Hindered this turn. ,,,,"Shift 1."
mnv_secwn,Second Wind,NA,1,Utility,,,Encounter,,,Standard Action,,,,,,,,Spend a Surge. Gain +4 to all defenses until your next turn.,,,,(Encounter) Spend a Surge. +4 to all defenses until next turn.
# Basic Miscellaneous Maneuvers
mnv_draw,Draw,NA,1,Utility,,,,,,Move Action,,,,,,,,Move 1. Sheathe or store any number of items from your hands. Draw, or pick up from the ground, up to one item per hand. ,,,,"Move 1. Sheathe items, then draw items."
mnv_qdraw,Quick Draw,NA,1,Utility,,Advanced,,,,Minor Action,,,,,,,,"Drop any number of items from your hands. Draw up to one item per hand. You are Hindered this turn.<br>",,,,"Drop Items, then draw items. Hindered."
mnv_blank,Point Blank Shot,NA,1,Utility,,,,,Minor Action,,,,,,,,"Until end of turn, you are Hindered, and making Ranged or Area attacks targeting adjacent enemies does not provoke opportunity attacks",,,,"Hindered, and can use Ranged attack in melee."
# Basic Move Maneuvers
mnv_charge,Charge,NA,1,Attack,,,,,,Standard Action,,,,,,,,You are Hindered. Move your Speed and make a Melee Basic Attack. You can't move this turn,,,,Hindered and Dazed. Move Speed and make Melee Basic Attack.
