build_id,feature_id
ftr_guard,ftr_shiel_mas
ftr_guard,ftr_guard_aur
ftr_guard,ftr_guard_shi
ftr_guard,ftr_armor_spc
ftr_guard,ftr_train
ftr_sentn,ftr_weapn_mas
ftr_sentn,ftr_sentn_aur
ftr_sentn,ftr_sentn_alt
ftr_sentn,ftr_armor_mob
ftr_sentn,ftr_train
ftr_watch,ftr_weapn_mas
ftr_watch,ftr_watch_chl
ftr_watch,ftr_watch_eye
ftr_watch,ftr_watch_vig
ftr_watch,ftr_train
ftr_sell,ftr_weapn_mas
ftr_sell,ftr_sell_rth
ftr_sell,ftr_sell_val
ftr_sell,ftr_sell_bar
ftr_sell,ftr_train
wiz_elemt,wiz_contr_pow
wiz_elemt,wiz_elem_rng
wiz_elemt,wiz_flex
wiz_elemt,wiz_rit
wiz_elemt,wiz_train
wiz_abjur,wiz_contr_pow
wiz_abjur,wiz_abjur_shi
wiz_abjur,wiz_flex
wiz_abjur,wiz_rit
wiz_abjur,wiz_train
wiz_summ,wiz_contr_pow
wiz_summ,wiz_summ_mas
wiz_summ,wiz_flex
wiz_summ,wiz_rit
wiz_summ,wiz_train
rng_bstm,rng_bstcom
rng_bstm,rng_bststk
rng_bstm,rng_bstrec
rng_bstm,rng_train
rng_arch,rng_rngmst
rng_arch,rng_prmsht
rng_arch,rng_train
rng_dual,rng_ohstk
rng_dual,rng_train
rng_skrm,rng_skmmst
rng_skrm,rng_runmom
rng_skrm,rng_skmeva
rng_skrm,rng_train
rog_scoun,rog_sneak
rog_scoun,rog_scoun_wpn
rog_scoun,rog_scoun_amb
rog_scoun,rog_scon_eva
rog_scoun,rog_train
rog_thug,rog_sneak
rog_thug,rog_thug_wpn
rog_thug,rog_thug_mth
rog_thug,rog_thug_wck
rog_thug,rog_train
rog_duel,rog_sneak
rog_duel,rog_duel_wpn
rog_duel,rog_duel_cun
rog_duel,rog_duel_duel
rog_duel,rog_train
rog_swash,rog_sneak
rog_swash,rog_swash_wpn
rog_swash,rog_swash_stp
rog_swash,rog_swash_grn
rog_swash,rog_train
pri_light,pri_heal
pri_light,pri_light_fhl
pri_light,pri_shi
pri_light,pri_rit
pri_light,pri_train
pri_luck,pri_heal
pri_luck,pri_luck_bls
pri_luck,pri_shi
pri_luck,pri_rit
pri_luck,pri_train
bar_rager,bar_rager_svg
bar_rager,bar_rager_res
bar_rager,bar_rager_chr
bar_rager,bar_train
bar_bsk,bar_bsk_inn
bar_bsk,bar_bsk_fury
bar_bsk,bar_bsk_focus
bar_bsk,bar_train
wld_tac,wld_heal
wld_tac,wld_adv
wld_tac,wld_tac_act
wld_tac,wld_train
wld_ins,wld_heal
wld_ins,wld_adv
wld_ins,wld_ins_act
wld_ins,wld_train
wlk_shadow_,wlk_contr
wlk_shadow_,wlk_shadow_crs
wlk_shadow_,wlk_shadow_pct
wlk_shadow_,wlk_train
univ,univ
ori_human,ori_human_act
ori_human,ori_human_rec
ori_human,ori_human_skl
ori_dwarf,ori_dwarf_stb
ori_dwarf,ori_dwarf_res
ori_dwarf,ori_dwarf_gut
ori_elf,ori_elf_stp
ori_elf,ori_elf_acc
ori_elf_hi,ori_elf_bty
ori_elf_hi,ori_elf_chr
ori_gnome,ori_gnome_abs
ori_gnome,ori_gnome_ing
ori_orc,ori_orc_tgh
ori_orc,ori_orc_sms
ori_halfl,ori_halfl_nmb
ori_halfl,ori_halfl_ddg
ori_halfl,ori_halfl_res
ori_dragf,ori_dragonf_scl
ori_dragf,ori_dragf_brh
ori_devlf,ori_dvl_bldbd
ori_devlf,ori_dvl_resis
ori_devlf,ori_dvl_fshld
ori_gnome,ori_gnm_cau
ori_gnome,ori_gnm_trk
ori_gobln,ori_gob_mob
ori_gobln,ori_gob_pll
ori_minot,ori_min_chr
ori_minot,ori_min_red
ori_gliat,ori_gol_big
ori_gliat,ori_gol_res
ori_kbold,ori_kbl_mob
ori_kbold,ori_kbl_shf
